ID_hg38	n_unique_genes_in_ld_block
6_162510171_163962489	3
6_17386174_19207256	1
6_23936391_24852047	1
6_24852047_25684359	1
6_25684359_26791023	13
6_26791023_28050041	3
6_28050041_28949831	4
6_28949831_29770194	1
6_29770194_30830391	5
6_30830391_31603441	7
6_31603441_32714887	26
6_32714887_33268720	8
6_33268720_35487979	12
6_37604820_39327901	1
6_40377376_42070983	5
6_42070983_43788432	1
6_45438826_47344162	2
6_4617583_5791239	2
6_53414304_55603472	2
6_5791239_6784974	1
6_74752287_76705164	2
6_78248011_79981453	1
6_96645635_97394408	1
7_100599028_101555972	4
7_112978629_114072332	1
7_114072332_117140124	3
7_133121089_134622844	1
7_139059933_140233377	1
7_140233377_140535410	1
7_150143569_151014417	2
7_156272556_157841905	1
7_157841905_159335885	2
7_16161_933116	3
7_20085285_22468010	2
7_2022763_2732593	1
7_23431823_25037640	1
7_25869935_28320690	1
7_31097675_33516156	3
7_33516156_36173929	1
7_37515581_38927103	1
7_44724229_45913323	1
7_4533797_5376601	1
7_49172682_51607626	3
7_5376601_5814895	1
7_5814895_6534226	1
7_6534226_7769121	8
7_73920272_76829247	10
7_76829247_78464542	7
7_933116_1313431	1
7_97470258_99117851	1
7_99117851_100599028	8
8_100608730_103111078	3
8_103111078_103976524	2
8_103976524_106398526	1
8_10605687_11421489	11
8_11421489_13634266	12
8_141963553_143155464	1
8_143155464_145078481	1
8_21804225_23039544	4
8_23039544_24817205	1
8_26825008_28304875	1
8_29470379_31276213	2
8_31690844_33119700	1
8_33119700_35459714	3
8_37521871_39081287	2
8_41863936_42918680	1
8_42918680_45929693	1
8_58815541_61416540	1
8_65576855_68950822	2
8_72904964_74532829	2
8_7295557_9297184	7
8_85043384_86399480	3
8_86399480_88073253	3
8_88073253_89625933	1
8_92542158_93993299	1
8_9297184_9783277	1
8_93993299_95522578	1
8_95522578_98389353	4
8_9783277_10605687	2
9_107932781_110015744	2
9_115159681_118559259	2
9_119498019_122109043	1
9_122109043_124209608	1
9_12276489_14836365	2
9_127293231_129403191	4
9_131252501_132423455	1
9_132423455_134176000	1
9_136605890_138254346	1
9_14836365_16659657	2
9_16659657_18661053	1
9_18661053_20463536	1
9_33578336_34642246	3
9_34642246_36743286	1
9_36743286_38641602	2
9_39393282_69897795	1
9_76285267_76856292	1
9_76856292_78464139	1
9_8456299_9166403	1
9_85975502_87521331	1
9_87521331_89827251	6
9_91404921_93909416	7
9_93909416_96159758	2
9_96159758_98830577	1
9_98830577_101862155	4
