ID_hg38	n_unique_genes_in_ld_block
3_23763374_25420067	2
3_32310223_33214100	3
3_33214100_35241966	1
3_36445350_38314625	11
3_40179807_41023037	1
3_41023037_42498510	2
3_42498510_45123661	2
3_45123661_46616010	6
3_46616010_47685722	3
3_49279539_51797999	1
3_51797999_54047363	15
3_56399879_58171792	5
3_58171792_60287177	3
3_63683610_65287863	1
3_66220021_68237764	1
3_70399877_72480178	1
3_7041700_8606875	2
3_72480178_74272666	2
3_8606875_9501499	2
3_87360582_88249223	2
3_9501499_10977979	6
3_98497106_99654918	2
3_99654918_100873373	3
4_102300199_104384137	1
4_104384137_106580148	3
4_107894192_110335411	3
4_112948946_114745090	1
4_117558763_119012357	2
4_119471529_121736832	1
4_121736832_123365326	3
4_12321410_14270377	1
4_123365326_124289707	1
4_128075510_129670730	1
4_138635357_140163477	3
4_142522112_145257035	2
4_145257035_147600722	3
4_1476986_2841252	7
4_149762428_151861032	4
4_154134974_156563945	2
4_157822566_160137712	2
4_17381699_18840251	1
4_184008302_185987936	1
4_2841252_3844313	6
4_37253425_38905401	1
4_38905401_40200989	4
4_47409879_48121583	1
4_48121583_53011266	7
4_53011266_54563389	1
4_54563389_55681477	5
4_5500661_6771316	1
4_55681477_58068842	2
4_6771316_7537965	2
4_700926_1476986	4
4_71274841_73726673	1
4_7537965_8150508	2
4_76209554_78172825	2
4_80069143_81204161	1
4_81204161_82451440	1
4_8150508_9324753	3
4_83878503_86009456	1
4_86613495_88316876	4
4_89310413_90639526	3
4_9324753_10697528	5
4_98502916_99757203	1
5_102243065_103984304	1
5_107928495_109298233	1
5_109298233_111485446	1
5_111485446_112645865	1
5_112645865_114060588	4
5_115494673_116495351	2
5_11940_982137	2
5_120333347_121116471	1
5_121116471_123221211	1
5_123221211_124462407	2
5_126449957_128008912	1
5_128008912_130183332	1
5_130183332_132803957	11
5_132803957_135441711	7
5_137040361_139885487	2
5_139885487_141266403	23
5_141266403_143601683	3
5_149283061_151181737	9
5_151181737_153488214	3
5_157201689_159398690	3
5_171647288_173251324	2
5_173251324_174215868	1
5_176023592_177824506	12
5_177824506_178986463	2
5_178986463_179974244	3
5_179974244_181132933	8
5_181132933_181458155	3
5_31390142_33500075	5
5_35048865_36433852	1
5_36433852_38802308	2
5_41888608_43983397	2
5_50867564_52838788	1
5_52838788_54407214	1
5_54407214_56121522	2
5_56121522_57325275	3
5_59228796_61640080	1
5_5973120_7143105	7
5_64672477_66615458	1
5_66615458_68555033	1
5_74463501_76503041	2
5_76503041_78327508	1
5_78327508_80097321	2
5_80097321_81185652	7
5_9718720_11173159	1
5_99925288_102243065	1
6_103535520_105608858	3
6_108143176_109983044	9
6_109983044_112023811	1
6_115810232_117351809	3
6_117351809_118641952	2
6_125103237_127219316	6
6_127219316_129539886	2
6_129539886_130614309	2
6_130614309_132444530	2
6_13209156_14802693	2
6_132444530_133923105	2
6_138501492_139524299	1
6_139524299_141967342	1
6_141967342_144998674	2
6_144998674_146344288	2
6_14802693_17386174	1
6_148599216_149932268	1
6_149932268_151591568	2
6_152773361_154652986	2
6_154652986_156442192	4
6_157797687_160159465	2
6_160159465_161748532	3
6_167642155_168981955	3
6_17386174_19207256	1
6_21683834_22748078	1
6_23936391_24852047	5
6_24852047_25684359	1
6_25684359_26791023	9
6_26791023_28050041	1
6_28050041_28949831	5
6_28949831_29770194	2
6_29770194_30830391	4
6_30830391_31603441	11
6_31603441_32714887	22
6_32714887_33268720	6
6_33268720_35487979	7
6_35487979_37604820	2
6_37604820_39327901	1
6_42070983_43788432	8
6_43788432_45438826	1
6_45438826_47344162	1
6_47344162_48423389	2
6_56240515_60631718	3
6_6784974_7808703	2
6_74752287_76705164	2
6_7808703_9019793	2
6_78248011_79981453	2
6_79981453_81219505	1
6_82417432_84500271	2
6_84500271_86359782	1
6_86359782_88112422	2
6_88112422_89263333	3
7_100599028_101555972	10
7_101555972_103557063	5
7_11259571_12595836	4
7_114072332_117140124	2
7_118711527_121405219	2
7_122293576_124516751	1
7_12595836_13844577	1
7_127229167_129138332	3
7_129138332_130737653	1
7_130737653_133121089	1
7_1313431_2022763	6
7_133121089_134622844	1
7_134622844_135906335	5
7_139059933_140233377	1
7_140233377_140535410	1
7_140535410_141526757	2
7_150143569_151014417	2
7_15104032_16862445	3
7_155173020_156272556	1
7_16161_933116	1
7_16862445_19441924	4
7_2022763_2732593	5
7_22468010_23431823	1
7_23431823_25037640	2
7_25037640_25869935	1
7_25869935_28320690	1
7_2732593_4533797	3
7_31097675_33516156	2
7_33516156_36173929	1
7_37515581_38927103	2
7_41962213_43119475	4
7_43119475_44724229	3
7_44724229_45913323	2
7_45913323_46947122	1
7_49172682_51607626	1
7_55623891_57314931	8
7_5814895_6534226	2
7_64180747_66224822	2
7_6534226_7769121	1
7_66224822_68769087	2
7_72409900_73920272	3
7_73920272_76829247	4
7_76829247_78464542	4
7_7769121_9083793	2
7_85942866_88195689	2
7_91032469_92864438	1
7_933116_1313431	1
7_94337289_96444196	2
7_97470258_99117851	2
7_99117851_100599028	1
8_10605687_11421489	7
8_11421489_13634266	12
8_115084266_118673218	1
8_118673218_120189461	3
8_120189461_123849219	1
8_129368893_130627379	2
8_132338897_133557758	1
8_133557758_135023362	2
8_139713400_141963553	6
8_141963553_143155464	3
