sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188232	NA19160	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123758	YRI	Yoruba	AFR	African
ERR188233	NA11993	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME123965	CEU	CEPH	EUR	European
ERR188234	NA19116	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124911	YRI	Yoruba	AFR	African
ERR188235	NA11930	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125095	CEU	CEPH	EUR	European
ERR188236	HG00118	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125347	GBR	British	EUR	European
ERR188237	HG00234	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124123	GBR	British	EUR	European
ERR188238	HG00269	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123575	FIN	Finnish	EUR	European
ERR188239	NA20520	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124019	TSI	Tuscan	EUR	European
ERR188240	HG00306	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124159	FIN	Finnish	EUR	European
ERR188241	HG00356	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125123	FIN	Finnish	EUR	European
ERR188242	HG00258	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123057	GBR	British	EUR	European
ERR188243	NA19098	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123633	YRI	Yoruba	AFR	African
ERR188244	NA12718	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124454	CEU	CEPH	EUR	European
ERR188245	HG00128	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122868	GBR	British	EUR	European
ERR188246	NA11840	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125139	CEU	CEPH	EUR	European
ERR188247	HG00104	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME123950	GBR	British	EUR	European
ERR188248	HG00178	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124964	FIN	Finnish	EUR	European
