sample_id	genotype_id	sex	cell_type	condition	qtl_group	timepoint	read_length	stranded	paired	protocol	rna_qc_passed	genotype_qc_passed	study	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188052	NA20541	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125147	TSI	Tuscan	EUR	European
ERR188053	HG00242	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123223	GBR	British	EUR	European
ERR188054	NA20752	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124177	TSI	Tuscan	EUR	European
ERR188055	NA19171	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124419	YRI	Yoruba	AFR	African
ERR188056	HG00331	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123986	FIN	Finnish	EUR	European
ERR188057	HG00262	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123580	GBR	British	EUR	European
ERR188058	NA12005	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125143	CEU	CEPH	EUR	European
ERR188059	HG00125	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122869	GBR	British	EUR	European
ERR188060	NA18517	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124883	YRI	Yoruba	AFR	African
ERR188061	NA12761	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124466	CEU	CEPH	EUR	European
ERR188062	NA11992	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123964	CEU	CEPH	EUR	European
ERR188063	NA20509	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124354	TSI	Tuscan	EUR	European
ERR188064	NA19144	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123373	YRI	Yoruba	AFR	African
ERR188065	HG00149	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124387	GBR	British	EUR	European
ERR188066	NA19118	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122943	YRI	Yoruba	AFR	African
ERR188067	NA11831	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124552	CEU	CEPH	EUR	European
ERR188068	NA20759	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125094	TSI	Tuscan	EUR	European
ERR188069	NA19096	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123662	YRI	Yoruba	AFR	African
ERR188070	HG00263	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123581	GBR	British	EUR	European
ERR188071	HG00114	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125343	GBR	British	EUR	European
ERR188072	NA19137	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125235	YRI	Yoruba	AFR	African
ERR188073	HG00145	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124391	GBR	British	EUR	European
ERR188074	NA19257	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123495	YRI	Yoruba	AFR	African
ERR188075	HG00349	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124925	FIN	Finnish	EUR	European
ERR188076	NA12006	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125145	CEU	CEPH	EUR	European
ERR188077	NA11893	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123044	CEU	CEPH	EUR	European
ERR188078	HG00372	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124748	FIN	Finnish	EUR	European
ERR188079	NA20778	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124571	TSI	Tuscan	EUR	European
ERR188080	HG00250	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123054	GBR	British	EUR	European
ERR188081	NA12814	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123021	CEU	CEPH	EUR	European
ERR188082	HG00110	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125339	GBR	British	EUR	European
ERR188083	HG00285	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122836	FIN	Finnish	EUR	European
ERR188084	HG00152	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME124593	GBR	British	EUR	European
ERR188085	NA18520	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123565	YRI	Yoruba	AFR	African
ERR188086	NA11892	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123045	CEU	CEPH	EUR	European
ERR188087	HG00121	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122873	GBR	British	EUR	European
ERR188088	NA20504	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124360	TSI	Tuscan	EUR	European
ERR188089	HG00358	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125126	FIN	Finnish	EUR	European
ERR188090	HG00186	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123647	FIN	Finnish	EUR	European
ERR188091	HG00256	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123048	GBR	British	EUR	European
ERR188092	NA12546	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124777	CEU	CEPH	EUR	European
ERR188093	NA19150	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME124838	YRI	Yoruba	AFR	African
ERR188094	NA20806	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125362	TSI	Tuscan	EUR	European
ERR188095	HG00137	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123066	GBR	British	EUR	European
ERR188096	NA18933	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123037	YRI	Yoruba	AFR	African
ERR188097	NA18511	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124885	YRI	Yoruba	AFR	African
ERR188098	HG00337	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123984	FIN	Finnish	EUR	European
ERR188099	NA12843	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123541	CEU	CEPH	EUR	European
ERR188100	NA12762	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125109	CEU	CEPH	EUR	European
ERR188101	NA10847	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124757	CEU	CEPH	EUR	European
ERR188102	HG00383	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123032	FIN	Finnish	EUR	European
ERR188103	NA19184	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123859	YRI	Yoruba	AFR	African
ERR188104	NA19146	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125080	YRI	Yoruba	AFR	African
ERR188105	NA20768	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124372	TSI	Tuscan	EUR	European
ERR188106	HG00247	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME123220	GBR	British	EUR	European
ERR188107	NA12342	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125155	CEU	CEPH	EUR	European
ERR188108	NA20754	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124173	TSI	Tuscan	EUR	European
ERR188109	NA19121	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125015	YRI	Yoruba	AFR	African
ERR188110	NA20760	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124364	TSI	Tuscan	EUR	European
ERR188111	HG00255	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123049	GBR	British	EUR	European
ERR188112	HG00239	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124130	GBR	British	EUR	European
ERR188113	HG00324	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123794	FIN	Finnish	EUR	European
ERR188114	NA20534	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124165	TSI	Tuscan	EUR	European
ERR188115	HG00382	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123033	FIN	Finnish	EUR	European
ERR188116	HG00151	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124592	GBR	British	EUR	European
ERR188117	HG00268	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123574	FIN	Finnish	EUR	European
ERR188118	HG00181	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123644	FIN	Finnish	EUR	European
ERR188119	HG00119	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125348	GBR	British	EUR	European
ERR188120	NA19256	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124707	YRI	Yoruba	AFR	African
ERR188121	HG00311	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124339	FIN	Finnish	EUR	European
ERR188122	NA11894	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123043	CEU	CEPH	EUR	European
ERR188123	HG00313	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124337	FIN	Finnish	EUR	European
ERR188124	HG00351	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125122	FIN	Finnish	EUR	European
ERR188125	NA20826	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123070	TSI	Tuscan	EUR	European
ERR188126	NA20766	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124370	TSI	Tuscan	EUR	European
ERR188127	HG00334	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123981	FIN	Finnish	EUR	European
ERR188128	NA19092	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123173	YRI	Yoruba	AFR	African
ERR188129	NA19197	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125309	YRI	Yoruba	AFR	African
ERR188130	HG00261	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123583	GBR	British	EUR	European
ERR188131	NA19213	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125384	YRI	Yoruba	AFR	African
ERR188132	NA20797	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123820	TSI	Tuscan	EUR	European
ERR188133	HG00135	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME123068	GBR	British	EUR	European
ERR188134	NA12827	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125077	CEU	CEPH	EUR	European
ERR188135	NA07346	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME123571	CEU	CEPH	EUR	European
ERR188136	HG00103	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125151	GBR	British	EUR	European
ERR188137	NA20812	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125190	TSI	Tuscan	EUR	European
ERR188138	NA20539	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124164	TSI	Tuscan	EUR	European
ERR188139	NA18917	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123407	YRI	Yoruba	AFR	African
ERR188140	NA12716	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123912	CEU	CEPH	EUR	European
ERR188141	HG00343	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124923	FIN	Finnish	EUR	European
ERR188142	NA12287	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124641	CEU	CEPH	EUR	European
ERR188143	NA18487	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME124098	YRI	Yoruba	AFR	African
ERR188144	HG00139	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123060	GBR	British	EUR	European
ERR188145	NA20519	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123179	TSI	Tuscan	EUR	European
ERR188146	HG00180	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123645	FIN	Finnish	EUR	European
ERR188147	NA20804	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125224	TSI	Tuscan	EUR	European
ERR188148	NA12282	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124640	CEU	CEPH	EUR	European
ERR188149	HG00182	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123643	FIN	Finnish	EUR	European
ERR188150	HG00366	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124541	FIN	Finnish	EUR	European
ERR188151	NA18489	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124102	YRI	Yoruba	AFR	African
ERR188152	NA12751	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123515	CEU	CEPH	EUR	European
ERR188153	NA20765	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124367	TSI	Tuscan	EUR	European
ERR188154	HG00251	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123053	GBR	British	EUR	European
ERR188155	NA20790	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123815	TSI	Tuscan	EUR	European
ERR188156	HG00335	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123982	FIN	Finnish	EUR	European
ERR188157	NA12872	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123387	CEU	CEPH	EUR	European
ERR188158	NA18502	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125055	YRI	Yoruba	AFR	African
ERR188159	HG00245	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123218	GBR	British	EUR	European
ERR188160	NA20513	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124561	TSI	Tuscan	EUR	European
ERR188161	NA11918	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123135	CEU	CEPH	EUR	European
ERR188162	NA18508	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124318	YRI	Yoruba	AFR	African
ERR188163	HG00174	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124958	FIN	Finnish	EUR	European
ERR188164	HG00159	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124586	GBR	British	EUR	European
ERR188165	NA18510	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124886	YRI	Yoruba	AFR	African
ERR188166	HG00108	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125161	GBR	British	EUR	European
ERR188167	HG00106	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123948	GBR	British	EUR	European
ERR188168	HG00346	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125264	FIN	Finnish	EUR	European
ERR188169	HG00338	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123990	FIN	Finnish	EUR	European
ERR188170	NA19131	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125230	YRI	Yoruba	AFR	African
ERR188171	NA20783	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123607	TSI	Tuscan	EUR	European
ERR188172	NA12154	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124959	CEU	CEPH	EUR	European
ERR188173	NA20785	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123611	TSI	Tuscan	EUR	European
ERR188174	NA19198	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124049	YRI	Yoruba	AFR	African
ERR188175	HG00359	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME125127	FIN	Finnish	EUR	European
ERR188176	NA07357	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123412	CEU	CEPH	EUR	European
ERR188177	NA12234	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124003	CEU	CEPH	EUR	European
ERR188178	NA19114	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122953	YRI	Yoruba	AFR	African
ERR188179	NA20774	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124572	TSI	Tuscan	EUR	European
ERR188180	HG00177	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124957	FIN	Finnish	EUR	European
ERR188181	NA12413	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124055	CEU	CEPH	EUR	European
ERR188182	NA18912	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123404	YRI	Yoruba	AFR	African
ERR188183	NA19185	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123858	YRI	Yoruba	AFR	African
ERR188184	NA19147	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124613	YRI	Yoruba	AFR	African
ERR188185	HG00260	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123582	GBR	British	EUR	European
ERR188186	HG00115	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125344	GBR	British	EUR	European
ERR188187	HG00176	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124956	FIN	Finnish	EUR	European
ERR188188	NA19099	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125240	YRI	Yoruba	AFR	African
ERR188189	HG00133	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123062	GBR	British	EUR	European
ERR188190	HG00171	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124961	FIN	Finnish	EUR	European
ERR188191	NA20770	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124576	TSI	Tuscan	EUR	European
ERR188192	NA20786	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123610	TSI	Tuscan	EUR	European
ERR188193	NA19141	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124607	YRI	Yoruba	AFR	African
ERR188194	HG00284	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122835	FIN	Finnish	EUR	European
ERR188195	NA20792	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123817	TSI	Tuscan	EUR	European
ERR188196	NA12717	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME123911	CEU	CEPH	EUR	European
ERR188197	HG00341	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124922	FIN	Finnish	EUR	European
ERR188198	HG00373	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124749	FIN	Finnish	EUR	European
ERR188199	NA20585	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122861	TSI	Tuscan	EUR	European
ERR188200	NA18519	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124888	YRI	Yoruba	AFR	African
ERR188201	NA20588	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME122866	TSI	Tuscan	EUR	European
ERR188202	NA06989	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124760	CEU	CEPH	EUR	European
ERR188203	NA20542	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125150	TSI	Tuscan	EUR	European
ERR188204	NA20524	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124016	TSI	Tuscan	EUR	European
ERR188205	HG00310	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124338	FIN	Finnish	EUR	European
ERR188206	HG00100	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125154	GBR	British	EUR	European
ERR188207	NA19222	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124147	YRI	Yoruba	AFR	African
ERR188208	NA20538	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124163	TSI	Tuscan	EUR	European
ERR188209	NA19214	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME125386	YRI	Yoruba	AFR	African
ERR188210	NA20816	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	FALSE	GEUVADIS	SAME125186	TSI	Tuscan	EUR	European
ERR188211	NA19175	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124887	YRI	Yoruba	AFR	African
ERR188212	HG00231	female	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124126	GBR	British	EUR	European
ERR188213	NA06986	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124764	CEU	CEPH	EUR	European
ERR188214	NA18486	male	LCL	naive	LCL	0	75bp	FALSE	TRUE	poly(A)	TRUE	TRUE	GEUVADIS	SAME124099	YRI	Yoruba	AFR	African
